schemaVersion,recordType,source.name,source.url,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.19880,EnvHarness: Awakening Static Worlds for Agent Learning,,https://arxiv.org/abs/2608.19880,https://github.com/google-research/envharness,537,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.18580,FACET: Preserving Source Intent and Executable State in Terminal Task Synthesis,,https://arxiv.org/abs/2608.18580,https://github.com/StoKou/FACET-Terminal,121,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.20335,4DAnyone: Create Anyone in 4D from a Casual Monocular Video,,https://arxiv.org/abs/2608.20335,https://github.com/ant-research/4DAnyone,1276,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.19799,SWE-bench Science: Can Coding Agents Resolve Engineering Tasks in Science?,,https://arxiv.org/abs/2608.19799,https://github.com/OpenMOSS/SWE-bench-Science,80,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.20336,WithEveryone: Unified Planning and Identity Grounding for Group Image Generation,,https://arxiv.org/abs/2608.20336,https://github.com/doby-xu/WithEveryone,45,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.20202,MemTrapBench: Benchmarking Cognitive Traps in LLM Memory Use,,https://arxiv.org/abs/2608.20202,https://github.com/zjunlp/MemTrapBench,5,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.14022,ForgeWM: Progressive Causal Training for Few-Step Action-Conditioned Video World Models,,https://arxiv.org/abs/2608.14022,https://github.com/asdfo123/ForgeWM,107,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.19758,FlashPrefill V2: Block-Sparse Prefill Attention for Long-Context LLM Serving,,https://arxiv.org/abs/2608.19758,https://github.com/qhfan/FlashPrefillv2,27,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.08466,Hierarchical Self-Improvement: A Framework for Task-Specific Evolvable Agent Harnesses,,https://arxiv.org/abs/2608.08466,https://github.com/TailinZhou/hsi,11,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
1.0,RESEARCH_PAPER,Hugging Face Daily Papers,https://arxiv.org/abs/2608.16885,tau_0-VLA: a Hierarchical Robot Foundation Model with World-Model-Guided Test-Time Computation,,https://arxiv.org/abs/2608.16885,https://github.com/sii-research/tau-0-vla,614,2026-08-01T00:00:00,2026-09-12T12:08:00.677291+00:00
